STATION,DATE_OF_RESPONSE,LOCATION,RESPONDING_UNIT,TIME_RECEIVED,TIME_DISPATCHED,TIME_ARRIVAL,RESPONSE_TIME_MIN,DISTANCE,ALARM_STATUS,TIME_LAST_ALARM,TYPE_OF_OCCUPANCY,INJURED_CIV,INJURED_BFP,DEATH_CIV,DEATH_BFP,REMARKS,Temperature_C,Humidity_%,Wind_Speed_kmh,Precipitation_mm,Weather_Condition,Road_Condition
"Santa Cruz, Laguna",7/14/2010,"Brgy. Sto. Angel Sur, Santa Cruz Laguna",,1:20 AM,1:20 AM,1:25 AM,5,3.5,FA,7/14/2010 1:20,Residential,0,0,0,0,Case Closed,25,88,7.8,12.4,Stormy,Wet
"Santa Cruz, Laguna",8/27/2010,Brgy. Bubukal Santa Cruz Laguna,,7:45 AM,7:45 AM,7:50 AM,5,3,FA,8/27/2010 7:45,Motor Vehicle,0,0,0,0,Case Closed,28.8,88,10.8,0,Cloudy,Traffic
"Santa Cruz, Laguna",4/27/2011,Brgy. Bagumbayan SCL,,5:10 PM,5:12 PM,5:15 PM,3,2.1,FA,4/27/2011 17:10,Others,0,0,0,0,Case Closed,31.5,73,9,0,Sunny,Traffic
"Santa Cruz, Laguna",11/3/2011,Sto Angel Sur SCL,,2:50 PM,2:52 PM,2:56 PM,4,3.3,FA,11/3/2011 14:50,Motor Vehicle,0,0,0,0,Case Closed,29.3,85,12.8,0,Cloudy,Dry
"Santa Cruz, Laguna",11/19/2011,Brgy 2 SCL,,10:30 AM,10:31 AM,10:35 AM,4,3.5,FA,11/19/2011 10:30,Storage,0,0,0,0,Case Closed,27.5,82,14.6,0,Cloudy,Dry
"Santa Cruz, Laguna",1/22/2012,"Sitio Maunawain, Brgy Duhat, SCL",,2:00 AM,2:02 AM,2:07 AM,5,4,FA,1/22/2012 2:00,Others,0,0,0,0,Case Closed,24.1,86,12.6,0,Sunny,Dry
"Santa Cruz, Laguna",1/29/2012,#0256 Villa Jose Fina Subd Brgy Calios SCL,,8:10 PM,8:12 PM,8:15 PM,3,3.3,FA,1/29/2012 20:10,Others,0,0,0,0,Case Closed,24.4,83,14,0,Cloudy,Dry
"Santa Cruz, Laguna",5/9/2012,"Falcon St. Poblacion V, Santa Cruz Laguna",,1:05 AM,1:06 AM,1:10 AM,4,3.3,FA,5/9/2012 1:05,Mercantile,0,0,0,0,Case Closed,26.7,82,9.6,0,Cloudy,Dry
"Santa Cruz, Laguna",6/25/2012,"Pavillion 2, Mercado Farm, Santa Cruz Laguna",,10:37 AM,10:39 AM,10:44 AM,5,3.3,FA,6/25/2012 10:37,Others,0,0,0,0,Case Closed,29.8,81,8.4,0,Cloudy,Dry
"Santa Cruz, Laguna",7/16/2012,"No. 006 Maulawin St., Labuin Santa Cruz Laguna",,4:15 PM,4:17 PM,4:20 PM,3,3.3,FA,7/16/2012 16:15,Others,0,0,0,0,Case Closed,30.9,82,9.9,9.9,Rainy,Wet
"Santa Cruz, Laguna",8/17/2012,"5823 Sitio Tahimik, Santa Cruz Laguna",,6:27 PM,6:30 PM,6:45 PM,15,3.3,FA,8/17/2012 18:27,Others,0,0,0,0,Case Closed,29.9,88,10.4,10.8,Stormy,Wet
"Santa Cruz, Laguna",2/8/2013,"Complex Compound, Bubukal SCL",,3:45 PM,3:47 PM,3:52 PM,5,3.3,FA,2/8/2012 15:45,Vehicular Fire,0,0,0,0,Case Closed,28.8,77,13.7,0,Cloudy,Dry
"Santa Cruz, Laguna",4/23/2013,Brgy. Bubukal Santa Cruz Laguna,,1:20 PM,1:22 PM,1:27 PM,5,3,FA,4/23/2013 13:20,Grass,0,0,0,0,Case Closed,32.6,79,10.7,0,Cloudy,Dry
"Santa Cruz, Laguna",5/1/2013,"Brgy. Santisima Cruz, Santa Cruz Laguna",,5:21 PM,5:23 PM,5:25 PM,2,4,FA,5/1/2013 17:21,Grass,0,0,0,0,Case Closed,32.3,76,9.6,0,Sunny,Traffic
"Santa Cruz, Laguna",6/1/2013,Road 4 Afdram Village. Brgy Calios Santa Cruz Laguna,,9:30 PM,9:30 PM,9:33 PM,3,3.3,FA,6/1/2013 21:30,Post,0,0,0,0,Case Closed,25.7,86,6.7,0,Cloudy,Dry
"Santa Cruz, Laguna",7/17/2023,"Brgy Bubukal, Santa Cruz Laguna",,7:30 AM,7:32 AM,7:35 AM,3,3,FA,7/17/2023 7:30,Industrial,0,0,0,0,Case Closed,28,87,9.4,11.1,Stormy,Wet
"Santa Cruz, Laguna",7/31/2013,Brgy. Bubukal Santa Cruz Laguna,,7:31 AM,7:32 AM,7:35 AM,3,3,FA,7/31/2013 7:31,Post,0,0,0,0,Case Closed,28.7,86,8.7,0,Cloudy,Traffic
"Santa Cruz, Laguna",8/18/2013,"Regidor St. Public Market Place, Santa Cruz Laguna",,6:35 AM,6:37 AM,6:40 AM,3,3.3,FA,8/18/2013 6:35,Post,0,0,0,0,Case Closed,29.5,83,10.7,8.6,Rainy,Wet
"Santa Cruz, Laguna",9/26/2013,"Near Traders Hotel, Santa Cruz Laguna",,5:55 PM,5:56 PM,6:00 PM,4,3.3,FA,9/26/2013 17:55,Rubbish,0,0,0,0,Case Closed,29.5,89,7.4,12.2,Stormy,Wet
"Santa Cruz, Laguna",10/3/2013,"Sto Angel Sur, Santa Cruz Laguna",,1:25 AM,1:26 AM,1:31 AM,5,3.3,FA,10/3/2013 1:25,Storage,0,0,0,0,Case Closed,25.6,87,9.3,6.2,Rainy,Wet
"Santa Cruz, Laguna",12/10/2013,Brgy Sto Angel Central,,9:30 AM,9:32 AM,9:36 AM,4,3.5,FA,12/10/2013 9:30,Residential,0,0,0,0,Case Closed,27.7,81,15.1,7,Rainy,Wet
"Santa Cruz, Laguna",12/18/2013,"Al Sitio Sampaguita, Brgy. San Pablo Sur, Santa Cruz Laguna",,5:15 PM,5:17 PM,5:20 PM,3,3,FA,12/18/2013 17:15,Others,0,0,0,0,Case Closed,28.4,86,16.4,0,Sunny,Traffic
"Santa Cruz, Laguna",2/16/2014,Brgy Pagsawitan SCL,,9:35 PM,10:37 PM,9:40 PM,3,3.6,FA,2/16/2014 21:35,Structural,0,0,0,0,Case Closed,24.8,77,14.7,2.5,Rainy,Wet
"Santa Cruz, Laguna",3/3/2014,"Brgy Sto Angel Sur, SCL",,3:23 PM,3:25 PM,3:29 PM,4,3.5,FA,3/3/2014 15:23,Post Fire,0,0,0,0,Case Closed,28,77,14.3,0,Cloudy,Dry
"Santa Cruz, Laguna",3/10/2014,"Brgy Santisima Cruz, SCL",,8:28 AM,8:30 AM,8:33 AM,3,4,FA,3/10/2014 8:28,Others,0,0,0,0,Case Closed,31,76,12.6,3,Rainy,Wet
"Santa Cruz, Laguna",4/4/2014,Brgy Labuin SCL,,4:48 PM,4:50 PM,4:55 PM,5,3.5,FA,4/4/2014 16:48,Industrial,0,0,0,0,Case Closed,32.5,77,11.6,0,Cloudy,Dry
"Santa Cruz, Laguna",10/13/2014,"Brgy Poblacion II, SCL",,11:00 PM,11:02 PM,11:04 PM,2,3.5,FA,10/13/2014 23:00,Industrial,0,0,0,0,Case Closed,25.8,81,11.5,0,Cloudy,Dry
"Santa Cruz, Laguna",12/18/2014,"Brgy Calios, SCL",,3:15 PM,3:17 PM,3:20 PM,3,0.5,FA,12/18/2014 15:15,Rubbish,0,0,0,0,Case Closed,28.7,79,15.4,0,Cloudy,Dry
"Santa Cruz, Laguna",2/7/2015,"Brgy. Santisima Cruz, SCL",,7:30 AM,7:32 AM,7:37 AM,5,4,FA,2/7/2015 7:30,Residential,0,0,0,0,Case Closed,26.2,79,13.9,2.4,Rainy,Wet
"Santa Cruz, Laguna",2/20/2015,"Brgy Calios, SCL",,9:58 AM,10:00 AM,10:05 AM,5,0.5,FA,2/20/2015 9:58,Motor Vehicle,0,0,0,0,Case Closed,27.7,83,12.7,5.1,Rainy,Wet
"Santa Cruz, Laguna",2/25/2015,"Brgy Poblacion V, SCL",,8:48 AM,8:50 AM,8:52 AM,2,3.5,FA,2/25/2015 8:48,Motor Vehicle,0,0,0,0,Case Closed,26.8,78,11.7,0,Sunny,Traffic
"Santa Cruz, Laguna",3/28/2015,"Brgy Patimbao, SCL",,7:20 PM,7:23 PM,7:28 PM,5,3,FA,3/28/2015 19:20,Residential,0,0,0,0,Case Closed,28.4,81,13.6,0,Cloudy,Traffic
"Santa Cruz, Laguna",4/10/2015,"Poblacion III, SCL",,11:38 PM,11:40 PM,11:42 PM,2,3.3,FA,4/10/2015 23:38,Rubbish,0,0,0,0,Case Closed,28,76,9.2,3.5,Rainy,Wet
"Santa Cruz, Laguna",5/13/2015,"Brgy Gatid, SCL",,8:30 PM,8:31 PM,8:36 PM,5,4.6,FA,5/13/2015 22:00,Residential,0,0,0,0,Case Closed,28.7,76,9.4,2.8,Rainy,Wet
"Santa Cruz, Laguna",5/23/2015,Brgy Bagumbayan Santa Cruz Laguna,,4:22 PM,4:23 PM,4:26 PM,3,2.1,FA,5/23/2015 16:22,Residential,0,0,0,0,Case Closed,32.8,73,10.2,0,Cloudy,Dry
"Santa Cruz, Laguna",6/14/2015,Brgy. Gatid SCL,,12:18 PM,12:20 PM,12:25 PM,5,4.6,FA,6/14/2015 12:18,Residential,0,0,0,0,Case Closed,31.5,80,8.9,0,Cloudy,Dry
"Santa Cruz, Laguna",10/31/2015,"033E Teodoro St. Poblacion I, SCL",,7:35 PM,7:37 PM,7:40 PM,3,3.3,FA,10/31/2015 19:35,Residential,0,0,0,0,Case Closed,28.5,87,10.6,11.1,Stormy,Wet
"Santa Cruz, Laguna",12/13/2015,"Tindalo St. Montserrat Subd, Brgy  Calios SCL",,3:54 AM,3:56 AM,4:01 AM,5,0.5,FA,12/13/2015 3:54,Residential,0,0,0,0,Case Closed,25.5,81,14.5,4.4,Rainy,Wet
"Santa Cruz, Laguna",2/11/2016,"Sitio Huwaran, Bgry Pagsawitan, SCL",Shift B,11:30 PM,11:33 PM,11:36 PM,3,3.3,FOUA,2/11/2016 23:30,Residential,0,0,0,0,Case Closed,23.2,83,13.7,0,Cloudy,Dry
"Santa Cruz, Laguna",2/12/2016,"Brgy Patimbao, SCL",Shift B,11:00 PM,11:02 PM,11:07 PM,5,3,FOUA,2/12/2016 23:00,Business,0,0,0,0,Case Closed,24.8,84,12.4,0,Sunny,Dry
"Santa Cruz, Laguna",4/19/2016,"Sitio Ipil, Brgy Santisima Cruz, SCL",Shift B,6:50 PM,6:50 PM,6:53 PM,3,4,FOUA,4/19/2016 18:50,Residential,0,0,0,0,Case Closed,29.8,75,10.7,1.9,Rainy,Wet
"Santa Cruz, Laguna",4/21/2016,Brgy Oogong,Shift A,1:21 AM,1:23 AM,1:35 AM,12,3.5,FA,4/21/2016 1:21,Industrial,0,0,0,0,Case Closed,28.3,78,10.6,0,Cloudy,Dry
"Santa Cruz, Laguna",5/5/2016,"Jamaica Realty Subd, Brgy Sto. Angel Central, SCL",Shift B,12:58 PM,1:00 PM,1:05 PM,5,3.5,FA,5/5/2016 12:58,Residential,0,0,0,0,Case Closed,32.1,73,8.7,0,Cloudy,Dry
"Santa Cruz, Laguna",6/25/2016,"Calios, SCL",,5:20 PM,5:22 PM,5:25 PM,3,3.3,FA,6/25/2016 17:20,Rubbish,0,0,0,0,Case Closed,30.1,79,8.6,6.8,Rainy,Wet
"Santa Cruz, Laguna",9/9/2016,"Brgy Patimbao, SCL",Shift B,1:39 PM,1:41 PM,1:45 PM,4,3,FA,9/9/2016 13:39,Residential,0,0,0,0,Case Closed,30.8,85,8.9,0,Cloudy,Dry
"Santa Cruz, Laguna",10/15/2016,"Mabini St. Brgy Poblacion III, SCL",Shift B,12:45 AM,12:47 AM,12:49 AM,2,3.3,FA,10/16/2016 0:45,Residential,0,0,0,0,Case Closed,24.3,85,9.1,0,Cloudy,Dry
"Santa Cruz, Laguna",12/4/2016,Brgy. Palasan. SCL,Shift A,3:34 PM,3:37 PM,3:42 PM,5,3.5,FA,12/4/2016 15:34,Residential,0,0,0,0,Case Closed,27.5,82,13.2,0,Cloudy,Dry
"Santa Cruz, Laguna",12/23/2016,Brgy Pagsawitan SCL,,7:18 PM,7:20 PM,7:23 PM,3,3.6,FA,12/23/2026 19:18,Post Fire,0,0,0,0,Case Closed,28.3,80,16.4,14.2,Stormy,Wet
"Santa Cruz, Laguna",1/17/2017,"Sitio Maligaya, Brgy Pagsawitan, SCL",Shift A,7:14 PM,7:16 PM,7:20 PM,4,3.6,FA,1/17/2017 19:15,Residential,0,0,0,0,Case Closed,28,87,12.5,2.4,Rainy,Wet
"Santa Cruz, Laguna",3/26/2017,"LSPU Caampus, Brgy. Bagumbayan, SCL",Shift A,6:10 PM,6:12 PM,6:17 PM,5,2.1,FA,3/26/2017 18:10,Rubbish,0,0,0,0,Case Closed,29.3,75,13.1,0,Sunny,Traffic
"Santa Cruz, Laguna",4/26/2017,"Bayside, Brgy Bagumbayan SCL",,9:40 AM,9:42 AM,9:47 AM,5,2.1,FA,4/25/2017 9:40,Residential,0,0,1,0,Case Closed,30.9,73,11.9,0,Sunny,Traffic
"Santa Cruz, Laguna",5/19/2017,"Poblacion III, SCL",Shift B,3:24 PM,3:26 PM,3:29 PM,3,3.3,FA,5/19/2017 15:24,Assembly,0,0,0,0,Case Closed,30.1,77,10.5,3.3,Rainy,Wet
"Santa Cruz, Laguna",5/24/2017,"Brgy Bubukal, United Evangelical Christian School",Shift B,3:20 AM,3:22 AM,3:26 AM,4,3,FA,5/24/2017 3:20,Educational,0,0,0,0,Case Closed,29,77,10.7,0,Cloudy,Dry
"Santa Cruz, Laguna",8/20/2017,"Brgy. Gatid, SCL",,4:28 PM,4:30 PM,4:35 PM,5,4.6,FA,8/20/2017 6:28,Residential,0,0,0,0,Case Closed,30.5,90,9.2,12.4,Stormy,Wet
"Santa Cruz, Laguna",9/12/2017,"Brgy. Sto Angel Central Elementary School, Santo Angel Central, SCL",,5:25 AM,5:27 AM,5:30 AM,3,3.5,FA,9/12/2017 5:25,Educational,0,0,0,0,Case Closed,25.4,82,7.2,11.5,Stormy,Wet
"Santa Cruz, Laguna",9/13/2017,"Brgy. Santisima Cruz, SCL",,5:02 AM,5:04 AM,5:07 AM,3,4,FA,9/13/2017 5:02,Structural,0,0,0,0,Case Closed,25.2,85,9.6,0,Cloudy,Dry
"Santa Cruz, Laguna",9/19/2017,"Sitio 4, Brgy. Bagumbayan SCL",,3:59 AM,4:01 AM,4:06 AM,5,2.1,FA,9/19/2017 3:59,Structural,0,0,0,0,Case Closed,26.6,81,8.9,11.4,Stormy,Wet
"Santa Cruz, Laguna",11/30/2017,"Atdramm Subd, Brgy Calios, SCL",,2:30 AM,2:32 AM,2:35 AM,5,0.5,FA,11/30/2017 2:30,Residential,0,0,0,0,Case Closed,26.3,82,13.9,17.9,Stormy,Wet
"Santa Cruz, Laguna",12/20/2017,Sitio Matahimik Brgy Duhat SCL,,2:30 PM,2:32 PM,2:37 PM,5,3.3,FA,12/20/2017 14:30,Mercantile,0,0,0,0,Case Closed,27.8,80,14.5,0,Cloudy,Dry
"Santa Cruz, Laguna",12/25/2017,Atdramm Brgy Calios SCL,,10:40 PM,10:42 PM,10:45 PM,3,3.3,FA,12/25/2017 22:40,Residential,0,0,0,0,Case Closed,25.8,85,16.5,0,Sunny,Dry
"Santa Cruz, Laguna",1/1/2018,"Sitio 3, Bagumbayan SCL",Shift A,12:02 AM,12:03 AM,12:06 AM,3,3.3,FA,1/1/2018 0:02,Residential,0,0,0,0,Case Closed,24.8,82,13.7,0,Cloudy,Dry
"Santa Cruz, Laguna",5/26/2018,"Falcon St. Brgy Poblacion 5, SCL",Shift B,10:00 AM,10:00 AM,10:05 AM,5,3.3,FA,5/26/2018 10:00,Mercantile,0,0,0,0,Case Closed,30.4,83,10.5,0,Cloudy,Dry
"Santa Cruz, Laguna",7/17/2018,"Brgy Bubukal, SCL",Shift B,7:33 PM,7:33 PM,7:38 PM,5,3,FA,7/17/2018 19:33,Residential,0,0,1,0,Case Closed,28.5,83,9.2,0,Cloudy,Traffic
"Santa Cruz, Laguna",12/30/2018,"Boulevard St. Brgy. Sto Angel Norte, SCL",,1:35 AM,1:35 AM,1:40 AM,5,3.3,FA,12/30/2018 1:35,Residential,0,0,0,0,Case Closed,24.7,78,16.1,0,Cloudy,Dry
"Santa Cruz, Laguna",1/29/2019,Poblacion 5,,9:17 AM,9:18 AM,9:19 AM,2,2,FOUA,1/29/2019 9:25,Industial,0,0,0,0,Case Closed,26.2,87,14.5,0,Cloudy,Traffic
"Santa Cruz, Laguna",1/31/2019,Pagsawitan,,2:20 PM,2:21 PM,2:26 PM,6,2,FA,1/31/2019 14:20,Mercantile,0,0,0,0,Case Closed,26.7,83,13.5,3.8,Rainy,Wet
"Santa Cruz, Laguna",2/2/2019,Sitio 6 Bagumbayan,,2:24 AM,2:25 AM,2:30 AM,10,3,FA,2/2/2019 2:35,Residential,0,0,1,0,Case Closed,24.4,82,12.3,0,Cloudy,Dry
"Santa Cruz, Laguna",3/2/2019,Sitio 5 Bagumbayan,,1:18 PM,1:20 PM,1:25 PM,5,3.3,FA,3/2/2019 13:30,Industrial,0,0,0,0,Case Closed,30.3,76,13.4,0,Sunny,Dry
"Santa Cruz, Laguna",7/25/2019,"Sition 1, Brgy. Bagumbayan",,7:19 PM,7:20 PM,7:23 PM,4,2.1,FA,7/25/2019 19:23,Non-Structural,0,0,0,0,Case Closed,29,84,7.8,13.1,Stormy,Wet
"Santa Cruz, Laguna",8/8/2019,Brgy. Santo Angel Sur,,3:05 PM,3:07 PM,3:10 PM,3,4,FOUA,8/8/2019 15:36,Residential,2,0,1,0,Case Closed,30.9,81,9.2,0,Cloudy,Dry
"Santa Cruz, Laguna",8/14/2019,Brgy. Duhat ,,7:45 AM,7:45 AM,7:48 AM,3,0.8,FOUA,8/14/2019 8:40,Residential,0,0,0,0,Case Closed,28.8,85,8.4,8.2,Rainy,Wet
"Santa Cruz, Laguna",9/17/2019,"N. Tobias St. Brgy. Poblacion 5 Sta. Cruz, Laguna",,1:40 AM,1:42 AM,1:55 AM,15,4,FOUA,9/17/2019 1:55,Residential,0,0,0,0,Case Closed,26,86,9.5,0,Cloudy,Dry
"Santa Cruz, Laguna",10/21/2019,"Dama De Noche St., Brgy. San Pablo Norte",,7:20 AM,7:21 AM,7:25 AM,5,4.3,FA,10/21/2019 7:25,Residential,0,0,0,0,Case Closed,30,83,9,8.8,Rainy,Wet
"Santa Cruz, Laguna",10/27/2019,"1133 Street, San Francisco Subd. Brgy. Santo Angel Norte, Santa Cruz, Laguna ",,7:41 PM,7:43 PM,7:55 PM,12,3.3,FA,10/27/2019 19:43,Residential,0,0,0,0,Case Closed,28.4,88,11.3,14.8,Stormy,Wet
"Santa Cruz, Laguna",10/30/2019,"107, Central 2 Brgy. Gatid, Santa Cruz Laguna",,12:23 PM,12:24 PM,12:27 PM,3,3.3,FA,10/30/2019 12:24,Residential,0,0,0,0,Case Closed,30.9,82,11.6,0,Cloudy,Dry
"Santa Cruz, Laguna",11/1/2019,"National High-way, Brgy. Patimbao, Santa Cruz, Laguna",,4:00 PM,4:01 PM,4:04 PM,4,2.5,FA,11/1/2019 16:04,Residential,0,0,0,0,Case Closed,27.7,79,11.3,0,Cloudy,Dry
"Santa Cruz, Laguna",12/17/2019,"Poblacion 5, Santa Cruz Laguna",,3:05 PM,3:05 PM,3:16 PM,11,5,FA,12/17/2019 15:16,Residential,0,0,0,0,Case Closed,28.3,84,16.1,0,Sunny,Dry
"Santa Cruz, Laguna",12/25/2019,"1829 J. De Leon st. Brgy Pagsawitan, Sta Cruz Laguna",,7:18 PM,7:20 PM,7:25 PM,5,5,FA,12/25/2019 19:55,Residential,0,0,0,0,Case Closed,27.9,84,15.7,0,Cloudy,Traffic
"Santa Cruz, Laguna",2/20/2020,"Brgy Santisima, Santa Cruz Laguna",,8:45 AM,8:45 AM,8:50 AM,5,3.5,FA,2/20/2020 8:56,Residential,0,0,0,0,Case Closed,26.4,76,14.8,0,Sunny,Traffic
"Santa Cruz, Laguna",3/9/2020,"Brgy Santisima, Santa Cruz Laguna",,2:00 PM,2:00 PM,2:05 PM,5,3.5,FA,3/9/2020 14:30,Grass Fire,0,0,0,0,Case Closed,29.8,79,12.1,0,Cloudy,Dry
"Santa Cruz, Laguna",4/4/2020,"Brgy Santo Angel norte, Santa Cruz Laguna",,1:33 PM,1:33 PM,1:38 PM,5,5,FA,4/4/2020 13:42,Residential,0,0,0,0,Case Closed,32.3,77,11.9,1.3,Rainy,Wet
"Santa Cruz, Laguna",4/7/2020,"Brgy Bubukal, Santa Cruz Laguna",,10:10 AM,10:10 AM,10:15 AM,5,3,FA,4/7/2020 10:15,Residential,1,0,0,0,Case Closed,30.1,75,8.8,3.1,Rainy,Wet
"Santa Cruz, Laguna",4/11/2020,"Brgy Santisima, Santa Cruz Laguna",,1:58 PM,1:58 PM,2:03 PM,5,3.5,FA,4/11/2020 14:30,Grass Fire,0,0,0,0,Case Closed,31.8,73,9.2,0,Cloudy,Dry
"Santa Cruz, Laguna",4/6/2020,"Brgy Santisima, Santa Cruz Laguna",,5:10 PM,5:10 PM,5:15 PM,5,3.5,FA,4/6/2020 17:40,Residential,0,0,0,0,Case Closed,31.6,75,8.8,0,Cloudy,Traffic
"Santa Cruz, Laguna",5/9/2020,"Purok Bigayan, Brgy Calios, Santa Cruz, Laguna",,12:14 PM,12:14 PM,12:19 PM,5,0.5,FA,5/9/2020 12:40,Storage,0,0,0,0,Case Closed,30.4,80,10.8,4.3,Rainy,Wet
"Santa Cruz, Laguna",6/19/2020,"Brgy Santo Angel Central, Santa Cruz Laguna",,2:13 AM,2:13 AM,2:18 AM,5,3.5,FA,6/19/2020 3:26,Residential,2,0,2,0,Case Closed,25.8,78,9.4,0,Cloudy,Dry
"Santa Cruz, Laguna",9/25/2020,"Sitio Yakal, Brgy. San Pablo sur Santa Cruz, Laguna",,12:35 AM,12:35 AM,12:40 AM,5,3.5,FA,9/25/2020 1:33,Residential,0,0,1,0,Case Closed,25.1,83,9.5,0,Cloudy,Dry
"Santa Cruz, Laguna",9/29/2020,"Sitio Dao, Brgy. Santisima Cruz, Santa Cruz, Laguna",,9:45 AM,9:45 AM,9:53 AM,8,4,FOUA,9/29/2020 9:53,Residential,0,0,0,0,Case Closed,28.5,82,7.8,12.5,Stormy,Wet
"Santa Cruz, Laguna",10/28/2020,"Bagong Lipunan, 184 Celino Subd., Brgy. Duhat, Santa Cruz, Laguna",,4:47 PM,4:47 PM,4:52 PM,5,4,FA,10/28/2020 17:05,Residential,0,0,0,0,Case Closed,27.7,87,8.7,4.5,Rainy,Wet
"Santa Cruz, Laguna",11/12/2020,"Brgy. Gatid, Santa Cruz, Laguna",,6:20 AM,6:20 AM,6:25 AM,5,4.6,FA,11/12/2020 6:45,Residential,0,0,0,0,Case Closed,29.7,80,11.6,0,Cloudy,Dry
"Santa Cruz, Laguna",11/21/2020,"Sitio Pag-asa, Brgy. Pagsawitan, Santa Cruz, Laguna",,4:35 AM,4:35 AM,4:40 AM,5,3.6,FA,11/21/2020 5:20,Residential,0,0,0,0,Case Closed,25.7,82,11.2,15.2,Stormy,Wet
"Santa Cruz, Laguna",12/2/2020,"Brgy. Duhat, Santa Cruz, Laguna",,1:09 PM,1:09 PM,1:20 PM,11,4,FOUA,12/2/2020 13:20,Vehicular,0,0,0,0,Case Closed,27,86,14.5,11.2,Stormy,Wet
"Santa Cruz, Laguna",7/4/2021,"Sitio Asana, Brgy. Santisima Cruz, Sta Cruz Laguna",,9:10 PM,9:12 PM,9:18 PM,6,4,FOUA,7/4/2021 21:18,Residential,0,0,0,0,Case Closed,26.5,82,10.5,0,Cloudy,Dry
"Santa Cruz, Laguna",9/21/2021,Brgy. Patimbao Sta Cruz Laguna,Shift B,12:29 AM,12:35 AM,12:43 AM,8,8.8,FOUA,9/21/2021 0:43,Vehicular (Truck),0,0,0,0,Case Closed,25.3,87,8.7,9.8,Rainy,Wet
"Santa Cruz, Laguna",9/16/2021,Sitio 4 Brgy. Bagumbayan Sta Cruz Laguna,Shift B,8:55 AM,8:56 AM,9:03 AM,7,5,FA,9/16/2021 9:03,Residential (Apartment),0,0,0,0,Case Closed,30.9,83,9,7.9,Rainy,Wet
"Santa Cruz, Laguna",7/10/2021,"Brgy. Calios, Sta Cruz Laguna",,1:40 PM,1:41 PM,1:45 PM,4,0.5,FOUA,7/10/2021 13:45,Residential,0,0,0,0,Case Closed,29.7,87,9.7,0,Cloudy,Dry
